ICAO,FBO,TIER,PRICE,NAME,
CYHM,HAMILTON JETPORT LTD,529,4.68823,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,794,4.59275,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,926,4.56093,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,1058,4.52911,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,1190,4.49728,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,ONWARD AVIATION,1,4.40561,1) Minimum Notice Required:NONE 2) Ramps serviced: Own ramp service other ramp locations - UPS - Warplane Museum - Purolator 3) Additional Information: 24/7 Operation - Had a name change from GLANFORD to ONWARD aviation effective Sept 3rd 2021 FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYHR,MAXJET INC (FUEL ONLY),1,11.78187,$175 CALLOUT FEE WHEN APPLICABLE,
CYHU,AVJET,1,4.81809,$175 CALLOUT FEE WHEN APPLICABLE,
CYHU,AVJET HOLDING INC,1,4.27651,,
CYHU,HUB FBO,1,5.42119,,
CYHU,LUX FBO,1,4.26935,1) Minimum Notice Required: NONE 2) Ramps serviced:YES 11) Additional Information: Frequency: 122.47 Mhz / 24/7 / WE HANDLE ALL AIRCRAFT FROM SMALLEST TO B737 AND A321 For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHU,PASCAN,1,5.82706,,
CYHU,PASCAN,133,5.66447,,
CYHU,PASCAN,265,5.50161,,
CYHU,PASCAN,530,5.33875,,
CYHZ,GATEWAY FACILITIES,1,4.86707,Gateway is only able to assist with uplifts on their own ramp - not on all FBO RAMP Fuelings. JET WITH ADDITIVE INCURS HIGHER PRICING.,
CYHZ,PAL AVIATION SERVICES,1,4.52539,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,PAL AVIATION SERVICES,1321,4.36512,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,PAL AVIATION SERVICES,13209,4.23689,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,SHELL AEROCENTRE,1,4.86144,45 CAD HOOKUP FEE. NO FUEL FEE 100CAD/LIFT.,
CYKA,EXECUTIVE FLIGHT CENTRE,1,4.58938,Hook Up Fee / Aircraft $55.00,
CYKA,SHELL AVIATION,1,4.66361,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE,
CYKF,CHARTRIGHT AIR INC,1,6.15391,Operating Hours: 0500 to 2100 Callout fee applies for uplifts outside of regular business hours.,
CYKF,FLITE LINE SERVICES KITCHENER,1,5.90391,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE. 225 CAD CALL OUT CHARGE,
CYLS,CHARTRIGHT AIR INC,1,6.31515,N/A,
CYLS,LAKE SIMCOE,1,6.17437,,
CYLW,KELOWNA SHELL AEROCENTRE,1,4.76031,,
CYMM,EXECUTIVE FLIGHT CENTRE,1,5.20783,Hook Up Fee / Aircraft $55.00,
CYMT,CHIBOUGAMAU-CHAPAIS AIRPORT,1,6.10364,$175 CALLOUT FEE WHEN APPLICABLE,
CYMX,AVJET HOLDING INC,1,4.54474,,
CYMX,HELIBELLULE FBO,1,6.96229,$35 CAD HOOKUP FEE. ADDITIONAL ITP OF .20 CAN/LTR BETWEEN 0 - 1000 LITERS. ADDITIONAL ITP OF .10 CAN/LTR BETWEEN 1000 - 4000 LITERS. During closed Hrs minimum 2500 L or 250 $ fee,
CYND,GATINEAU-OTTAWA EXECUTIVE AIRPORT,1,6.40018,1) Minimum Notice Required: No notice during hours of operation outside hours 3 hrs. 2) Ramps serviced: Own ramp 3) Operating Hours: 0700-2000L 7 Days 4) Additional Information: Fuel is premixed & Avgas is available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYOO,ENTERPRISE AIRLINES INC,1,5.64283,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,265,5.57969,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,397,5.51653,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,529,5.42182,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOW,EXECAIRE AVIATION,1,5.10609,45 CAD HOOKUP FEE 100 CAD NO FUEL FEE. OVERTIME CHARGES ADDITIONAL.,
CYOW,EXECAIRE AVIATION,1585,4.87161,45 CAD HOOKUP FEE 100 CAD NO FUEL FEE. OVERTIME CHARGES ADDITIONAL.,
CYOW,SKYSERVICE FBO INC,1,4.36787,,
CYPD,CELTIC AIR SERVICES,1,10.46837,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0800-1700L 7 Days 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYPK,INTEGRITY FLIGHT SUPPORT,1,4.95977,,
CYPQ,STEWART AVIATION,1,6.16994,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0700-1800L 7 Days (0700-2000L APR-SEP) 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. 24 Hour notice for catering. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQA,MUSKOKA AIRPORT,1,6.15875,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0700-1900L 7 Days 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. 24 Hour notice for catering. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQB,AFS EXECUTIVE,1,4.45589,DE-ICING FEE: $0.17 C CDN per liter for Type 1 Fluid and by $0.09 C CDN per liter for Type 4 Fluid.,
CYQB,AVITAIR / TRANS-SOL AVIATION,1,4.88736,$175 CALLOUT FEE WHEN APPLICABLE. A/C PARKING ON THE TRANSOL RAMP MUST BE NOTED ON FUEL RELEASE.,
CYQB,AVJET HOLDING INC,1,4.90782,,
CYQB,LUX FBO,1,4.55461,1) Minimum Notice Required: 60 mins. 2) Ramps serviced: FBO ramp and at the terminal 3) Additional Information: Jet A with prist option available for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQF,TUCANA AVIATION,1,5.19865,OPERATING HOURS MON-FRI 8AM TO 5PM .CALL OUT FEE  $60. PRICING SUBJECT TO CHANGE AT ANY TIME AND MAY FLUCTUATE WITH EXCHANGE RATES.,
CYQG,GATEWAY AVIATION,1,6.15281,1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps serviced when aircraft is handled by Gateway Aviation All aircraft not handled by Gateway Aviation are subject to additional fees. 3) Additional Information: Monday to Friday 0700-1900 LCL. Saturday Sunday and holidays 0800-1800 LCL. Fuel is available after hours 24/7/365 for additional fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQI,YARMOUTH INTL AIRPORT,1,7.39260,N/A,
CYQK,KENORA AIRPORT SHELL,1,5.78185,100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET  / ADDITIVE INCURS HIGHER PRICING.,
CYQK,KENORA AIRPORT SHELL,1585,5.54738,100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET  / ADDITIVE INCURS HIGHER PRICING.,
CYQL,SOUTHERN AERO AVIATION,1,4.89984,**Minimum fee applies at this location** 1) Minimum Notice Required:30 mins 2) Ramps serviced: Ramp 3 3) Additional Information: Prist available for additional fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQM,AIRPORT TERMINAL SERVICES,1,5.25463,Fuel price does not include Canadian GST or Provincial Fuel Tax that may be applicable on your flight 1) Minimum Notice Required: None 2) Ramps serviced: Own Ramp only 3) Additional Information: Prist is available for an additional fee There is a 100 CAD no fuel surcharge fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQM,AIRPORT TERMINAL SERVICES,1585,5.01600,Fuel price does not include Canadian GST or Provincial Fuel Tax that may be applicable on your flight 1) Minimum Notice Required: None 2) Ramps serviced: Own Ramp only 3) Additional Information: Prist is available for an additional fee There is a 100 CAD no fuel surcharge fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQM,MENZIES AVIATION (FUEL ONLY),1,4.98805,**Minimum fee applies at this location** 1) Minimum Notice Required: 2) Ramps serviced: Terminal Cargo areas and GA ramp - NO ACCESS TO SHELL RAMP 3) Additional Information: for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQM,MENZIES AVIATION (FUEL ONLY),132,5.31143,**Minimum fee applies at this location** 1) Minimum Notice Required: 2) Ramps serviced: Terminal Cargo areas and GA ramp - NO ACCESS TO SHELL RAMP 3) Additional Information: for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQQ,AIRPORT AUTHORITY,1,6.17386,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE.,
CYQQ,AIRPORT AUTHORITY,1585,5.95599,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE.,
CYQR,KREOS AVIATION,1,4.63013,1) Minimum Notice Required: N/A 2) Ramps serviced:Own Ramp 3) Additional Information: Call FBO for fees for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQT,SKYFILL,1,4.80345,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FUEL FEE.,
CYQT,THUNDER BAY FLIGHT REFUELING,1,5.03263,1) Minimum Notice Required: NO 2) Ramps serviced: All except FBOs 3) Additional Information: Prist is available 4) Operating Hours: Mon-Fri 0530-2230  Sat 0600-2000 Sun 0700-2230 (On-call after hours) 5) Fuel available outside Operating Hours Y/N: YES Call-Outs Fees apply to services provided outside of regular operating hours. Formerly an ESSO/AVITAT FBO for more information please contact your local fuel logistics team on fuel24@wfscorp.com UNICOM 123.2,
CYQU,HAPPY GAS INC,1,6.31576,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQU,HAPPY GAS INC,264,6.17817,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQU,HAPPY GAS INC,529,6.04069,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQX,GANDER AVIATION,1,4.94967,,
CYQX,GANDER AVIATION,528,4.91754,,
CYQX,GANDER AVIATION,1585,4.88541,,
CYQX,IRVING AVIATION,1,5.33223,,
CYQX,WOODWARD AVIATION,1,5.27424,,
CYQY,MENZIES CANADA - FUELLING (FUEL ONLY),1,5.64576,**Minimum fee applies at this location** 1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: NA For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYRL,FAST AIR JET CENTRE,1,6.26757,1) Minimum Notice Required: None required but 20 minutes is recommended 2) Ramps serviced:All Ramps 3) Additional Information: Jet-A and Avgas available.....Unicom 122.3 4) Operating Hours: 0600 - 2000 lcl Monday to Friday 0700 - 1800 lcl Saturday & Sunday 5) Fuel available outside Operating Hours? Yes Call-Out Fee applies to services provided outside of regular operating hours Formerly an ESSO/AVITAT FBO (Central Avn. Services) for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYRL,FAST AIR JET CENTRE,1321,6.04515,1) Minimum Notice Required: None required but 20 minutes is recommended 2) Ramps serviced:All Ramps 3) Additional Information: Jet-A and Avgas available.....Unicom 122.3 4) Operating Hours: 0600 - 2000 lcl Monday to Friday 0700 - 1800 lcl Saturday & Sunday 5) Fuel available outside Operating Hours? Yes Call-Out Fee applies to services provided outside of regular operating hours Formerly an ESSO/AVITAT FBO (Central Avn. Services) for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYRQ,CJET AVIATION,1,6.12331,TRANSACTION FEES 3%. All fees associated with services provided for flights destined for the FBO will be invoiced directly to the FBO and not to the airline. The FBO will be responsible for invoicing its clients according to its own terms and conditions.,
CYRQ,TROIS-RIVIERES AIRPORT,1,6.88553,PRICE IS SUBJECT TO CHANGE AT ANY TIME. LANDING AND PARKING FEES ARE PASSED THROUGH AS INCCURED. OUTSIDE OPENING HOURS MAY APPLY. PRICING NOT AVAILABLE ON CJET RAMP. All fees associated with services provided for flights destined for the FBO will be invoiced directly to the FBO and not to the airline. The FBO will be responsible for invoicing its clients according to its own terms and conditions.,
CYSB,EXECUTIVE AVIATION FUELS LTD,1,4.76290,**Minimum fee applies at this location** 1) Minimum Notice Required:No 2) Ramps serviced:All Ramps 3) Additional Information: No 4) Operating Hours: All 7 days - hours are to be 0600 - 1800 // Call-Out Fee applies to services provided outside of regular operating hours Formerly an ESSO/AVITAT FBO for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYSB,NORTHERN AV SVCS,1,5.55515,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FUEL FEE,
CYSB,NORTHERN AV SVCS,1585,5.32067,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FUEL FEE,
CYSC,AEROPORT DE SHERBROOKE,1,5.36458,,
CYSJ,ATLANTIC FLIGHT CENTRE,1,7.44801,1) Minimum Notice Required: No 2) Ramps serviced:All Ramps with prior coordination 3) Additional Information: Unicom 123.3 // JetA & Avgas available.. 4) Operating Hours: 0700 to 1700 M-F CLOSED ON THE WEEKEND BUT AVAILABLE FOR A CALL OUT FEE / After Hrs call / Call-Out Fee applies to services provided outside of regular operating hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYSN,ALLIED AVIATION SERVICES,1,6.22425,1) Minimum Notice Required: NONE** 0800-1800 7 DAYS A WEEK 2) Ramps serviced: EVERYWHERE 11) Additional Information: PRIST FUEL AVAILABLE For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYSU,SUMMERSIDE AIRPORT,1,7.03084,1) Minimum Notice Required:Yes 1hr notice if possible 2) Ramps serviced:All Ramps 3) Additional Information: 1) Operating Hours: Mon - Fri 0800 to 1600. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYSZ,AVJET HOLDING INC,1,6.11793,,
CYTH,SHELL AVIATION,1,5.15177,1) Minimum Notice Required: No 2) Ramps serviced: All Ramps 3) Additional Information: We fuel all aircraft There is a 100 CAD no fuel surcharge fee 4) Operating Hours: Mon - Fri= 0630 till 2000 lcl... Sat & Sun= 0900 to 1700 lcl.....Closed Christmas Day Boxing Day New Year's Day. 5) Fuel available outside Operating Hours Y/N:Yes 30-45 minutes advanced notice required... Call for pricing. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYTH,SHELL AVIATION,1585,4.93389,1) Minimum Notice Required: No 2) Ramps serviced: All Ramps 3) Additional Information: We fuel all aircraft There is a 100 CAD no fuel surcharge fee 4) Operating Hours: Mon - Fri= 0630 till 2000 lcl... Sat & Sun= 0900 to 1700 lcl.....Closed Christmas Day Boxing Day New Year's Day. 5) Fuel available outside Operating Hours Y/N:Yes 30-45 minutes advanced notice required... Call for pricing. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYTH,THOMPSON AIRPORT,1,5.03300,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FURL FEE.,
CYTH,THOMPSON AIRPORT,1585,4.81512,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FURL FEE.,
CYTS,AIR CREEBEC INC,1,5.43209,**Minimum fee applies at this location** 1) Minimum Notice Required:during normal hours 2) Ramps serviced: EVERYWHERE ON THE AIRFIELD 3) Additional Information: UNICOM ..... 4) Operating Hours: Mon - Fri 0500-2000 / Sat - Sun 0630-1930 / Call-Out Fee applies to services provided outside of regular operating hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYTZ,PORTER FBO LIMITED,1,5.12953,1) Minimum Notice Required: 2) Ramps serviced: OWN RAMP ONLY 3) Additional Information: No After Hours Service For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYUL,AVIATION ETCETERA YUL,1,4.54488,WINTER PREMIUM FEE DEC-MAR APPLICABLE $0.0150 CAD/LTR,
CYUL,AVIATION ETCETERA YUL,396,4.41640,WINTER PREMIUM FEE DEC-MAR APPLICABLE $0.0150 CAD/LTR,
CYUL,EXECAIRE AVIATION,1,5.01092,45 CAD HOOKUP FEE. 100 CAD NO FUEL FEE.  JET WITH ADDITIVE INCURS HIGHER PRICING.,
CYUL,EXECAIRE AVIATION,1585,4.77234,45 CAD HOOKUP FEE. 100 CAD NO FUEL FEE.  JET WITH ADDITIVE INCURS HIGHER PRICING.,
CYUL,SIGNATURE CANADA FBO SERVICES INC,1,4.43208,,
CYUL,SKYSERVICE FBO MONTREAL,1,4.30563,,
CYVB,BONAVENTURE AIRPORT/AVJET,1,5.99149,,
CYVC,NOR-SASK AVIATION,1,4.89996,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE.,
CYVC,NOR-SASK AVIATION,1585,4.68208,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE.,
CYVO,AVJET,1,5.19363,$175 CALLOUT FEE WHEN APPLICABLE. CAN FUEL AT HANGAR Q60,
CYVO,HANGAR Q60,1,4.68516,,
CYVO,VALPIRO INC.,1,4.79937,1) Minimum Notice Required:None required 2) Ramps serviced:Own Ramp // Can service other ramps with permission 3) Additional Information: fuel is premixed // Operating Hours: 6am to 20:30pm // Call-Out Fee applies to services provided outside of regular operating hours For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYVO,VALPIRO INC.,1321,4.67005,1) Minimum Notice Required:None required 2) Ramps serviced:Own Ramp // Can service other ramps with permission 3) Additional Information: fuel is premixed // Operating Hours: 6am to 20:30pm // Call-Out Fee applies to services provided outside of regular operating hours For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
