"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"BJA","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.27928","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operation hours: 24/7 2) Additional Information: A Night time per-flight applies to any refuelling that occurs before 0700am and after 1900pm . Airport Tax applies on all fuelings. +VAT on domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BJA","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.17928","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operation hours: 24/7 2) Additional Information: A Night time per-flight applies to any refuelling that occurs before 0700am and after 1900pm . Airport Tax applies on all fuelings. +VAT on domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BLJ","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.01428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating hours: 24h/7 Operation. 2) Additional Information: VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BLJ","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.91428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating hours: 24h/7 Operation. 2) Additional Information: VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BMW","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.43068","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BMW","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.33068","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BSK","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.18608","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"BSK","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.08608","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CBH","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.24138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CBH","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.14138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CFK","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.07108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CFK","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.97108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CZL","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.21038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: 24/7 2) Additional Information: VAT applies on domestic flights The invoice to the customer will also state 'THIRD PARTY CHARGE', This is a pass through charge for VAT and the customer cannot reclaim. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"CZL","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.11038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: 24/7 2) Additional Information: VAT applies on domestic flights The invoice to the customer will also state 'THIRD PARTY CHARGE', This is a pass through charge for VAT and the customer cannot reclaim. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"DJG","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.64568","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1)Operating hours: 24h7 3) Additional Information: A per flight night time fee applies to any refuelling that occurs before 0700am and after 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"DJG","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.54568","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1)Operating hours: 24h7 3) Additional Information: A per flight night time fee applies to any refuelling that occurs before 0700am and after 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"EBH","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.24138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 72 HOURS MANDATORY PRIOR NOTICE. 2) ITP Operating Hours: 24/7 Operation. 3) Additional Information: A night time fee per flight applies to all fueling that occurs before 0700am and after 1900pm An attendance fee applies at this location since the truck is dispatched from Oran airport. Fuel must be requested 72hours before delivery as truck needs to be sent from Oran airport * If request is cancelled after fuel truck has already been sent an attendance fee will apply regardless* VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"EBH","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.14138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 72 HOURS MANDATORY PRIOR NOTICE. 2) ITP Operating Hours: 24/7 Operation. 3) Additional Information: A night time fee per flight applies to all fueling that occurs before 0700am and after 1900pm An attendance fee applies at this location since the truck is dispatched from Oran airport. Fuel must be requested 72hours before delivery as truck needs to be sent from Oran airport * If request is cancelled after fuel truck has already been sent an attendance fee will apply regardless* VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ELG","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.12788","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ELG","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.02788","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ELU","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.07108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ELU","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.97108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"GHA","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.07108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"GHA","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.97108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"GJL","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.01428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"GJL","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.91428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"HME","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.03318","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"HME","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.93318","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"HRM","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.08998","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"HRM","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.98998","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"IAM","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.12788","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","** Hydrant system down for repairs/ maintenance, fuel only available via truck. 1) Operating Hours: 24h/7 2) Additional Information: Per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"IAM","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.02788","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","** Hydrant system down for repairs/ maintenance, fuel only available via truck. 1) Operating Hours: 24h/7 2) Additional Information: Per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"INZ","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.31388","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"INZ","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.21388","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"LOO","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.08998","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
