IATA,ICAO,ST/CO,CITY,FUELER,EFFECTIVE DATE,EXPIREDT,RESTRICTIONS,BASEFUEL,MIN GALLONS,MAX GALLONS,TOTAL PRICE,NOTES,Taxes Included
HGU,AYMH,PG,MOUNT HAGEN,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,7.539411,1,999999,7.539411,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
HGU,AYMH,PG,MOUNT HAGEN,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
LAE,AYNZ,PG,LAE,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,7.005668,1,99999,7.005668,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
LAE,AYNZ,PG,LAE,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,4.977186,1,999999,4.977186,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",No
POM,AYPY,PG,PORT MORESBY,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,5.000913,1,99999,5.000913,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,Yes
TBG,AYTB,PG,TABUBIL,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
RAB,AYTK,PG,RABAUL,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,8.039843,1,99999,8.039843,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
RAB,AYTK,PG,RABAUL,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,999999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",No
VAI,AYVN,PG,VANIMO,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,8.438068,1,999999,8.438068,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
WWK,AYWK,PG,WEWAK,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,6.008269,1,99999,6.008269,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. 55PGK HOOK UP FEE PER UPLIFT. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
JEG,BGAA,GL,AASIAAT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION. PRICE IS SUBJECT TO CHANGE AT ANYTIME. ,Yes
UAK,BGBW,GL,NARSARSUAQ,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION.

BGBW OPERATING HOURS
MONDAY–SATURDAY FROM 1100Z-2000Z ",Yes
CNP,BGCO,GL,ITTOQQORTOORMIT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
GOH,BGGH,GL,GODTHAB,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JAV,BGJN,GL,LLULISSAT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
KUS,BGKK,GL,KULUSUK,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JSU,BGMQ,GL,MANIITSOQ,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JFR,BGPT,GL,PAAMIUT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
NAQ,BGQQ,GL,QAANAAQ,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.226272,1,99999,7.226272,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
SFJ,BGSF,GL,SANDRESTROM,AIR BP - GREENLAND,12/1/2025,12/31/2025,Corporate,9.040000,1,999999,9.529747,GENERAL AVIATION AND MILITARY FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 100 DKK/UPLIFT HOOKUP FEE MAY APPLY. 300 DKK MINIMUM UPLIFT FOR < 200 LTRS. 1000 DKK NO FUEL FEE. 200 DKK OVERWING FEE. 1000 DKK REMOTE APRON FEE. ,No
JHS,BGSS,GL,SISIMIUT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
THU,BGTL,GL,THULE,UNITED STATES SPACE FORCE,12/9/2025,12/15/2025,Corporate,3.165000,1,99999,3.165000,ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS. ,No
JUV,BGUK,GL,UPERNAVIK,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JQA,BGUQ,GL,QAARSUT,GREENLAND AIRPORTS,12/1/2025,12/31/2025,Corporate,7.167267,1,99999,7.167267,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
AEY,BIAR,IS,AKUREYRI,SKELJUNGUR OIL COMPANY,12/1/2025,12/31/2025,Corporate,4.063263,1,99999,4.063263,INTERNAL FLIGHTS INCUR 24% VAT. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 20 USD ,Yes
EGS,BIEG,IS,EGILSSTADIR,SKELJUNGUR OIL COMPANY,12/1/2025,12/31/2025,Corporate,4.683263,1,99999,4.683263,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00.HOOKUP FEE 20 USD ,Yes
HFN,BIHN,IS,HOFN,SKELJUNGUR OIL COMPANY,12/1/2025,12/31/2025,Corporate,5.763263,1,99999,5.763263,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 596.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. 200 USD/UPLIFT HOOKUP FEE ,Yes
IFJ,BIIS,IS,ISAFJORDUR,SKELJUNGUR OIL COMPANY,12/1/2025,12/31/2025,Corporate,4.733263,1,99999,4.733263,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 596.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOK UP FEE 20 USD ,Yes
KEF,BIKF,IS,KEFLAVIK,E.A.K. - TRUCK,12/1/2025,12/31/2025,Corporate,2.708263,1,99999,2.896563,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 61.33 USD/UPLIFT. ,Yes
KEF,BIKF,IS,KEFLAVIK,ICELAND JET CENTER/ E.A.K - AEGConnect,12/1/2025,12/31/2025,Corporate,2.708263,1,999999,2.896563,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 61.33 USD/UPLIFT. ,No
RKV,BIRK,IS,REYKJAVIK,SKELJUNGUR OIL COMPANY,12/1/2025,12/31/2025,Corporate,3.453263,1,99999,3.453263,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 20USD ,Yes
PRN,BKPR,KO,PRISTINA,EX-FIS LLC,12/1/2025,12/15/2025,Corporate,4.040276,1,99999,4.040276,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. PRICE SUBJECT TO EXCHANGE RATE FLUCTUATIONS. ,Yes
CAC,CAC8,BC,NANAIMO,Seair Seaplanes Ltd.,12/8/2025,1/5/2026,Corporate,5.193604,1,99999,5.624299,PRICE IS SUBJECT TO CHANGE AT ANY TIME. ,No
CAM,CAM9,BC,RICHMOND,Seair Seaplanes Ltd.,12/8/2025,1/5/2026,Corporate,5.193604,1,99999,5.624299,PRICE IS SUBJECT TO CHANGE AT ANY TIME. ,No
CRE,CREE,MX,Barrancas del Cobre,ASA - TANKER TRUCK..,12/9/2025,12/15/2025,Corporate,2.874393,1,99999,2.988516,FOR UPLIFTS LESS THAN OR EQUAL TO 1500 LITERS A MINIMUM UPLIFT FEE WILL BE BILLED IN PLACE OF THE THROUGHPUT FEE. ,No
YAG,CYAG,ON,FORT FRANCES,FORT FRANCES AIRPORT,7/3/2025,12/31/2025,Corporate,CALL,1,99999,CALL,PRICING SUBJECT TO CHANGE AT ANY TIME AND MAY FLUCTUATE WITH EXCHANGE RATES. ,No
YAM,CYAM,ON,SAULT STE MARIE,EXECUTIVE AVIATION - YAM,12/9/2025,12/15/2025,Corporate,4.011600,1,99999,5.576531,ADDITIVE NOT INCLUDED. $0.02 CPL additional for additive. Smaller than DC9 ,No
YAM,CYAM,ON,SAULT STE MARIE,JD AERO,12/2/2025,12/8/2025,Corporate,3.813808,1,99999,4.606231,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YBC,CYBC,QC,BAIE COMEAU,AVJET - YBC,12/2/2025,12/8/2025,Corporate,5.139459,1,99999,6.127566,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YBG,CYBG,QC,BAGOTVILLE,AVJET - YBG,12/2/2025,12/8/2025,Corporate,5.061858,1,99999,6.038344,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YBL,CYBL,BC,CAMPBELL RIVER,CAMPBELL RIVER AIRPORT,10/28/2025,12/31/2025,Corporate,5.193604,1,99999,5.624299,PRICING SUBJECT TO CHANGE AT ANY TIME. ,Yes
YCD,CYCD,BC,NANAIMO,ENEX AVIATION,12/9/2025,12/15/2025,Corporate,2.973240,1,99999,3.292917, ,Yes
YCH,CYCH,NB,CHARLO,MIRAMICHI AIRPORT,12/9/2025,12/15/2025,Corporate,4.295770,1,26416,6.079560,MTOW < 42KGS AND ALL PART 91 AIRCRAFT. ,Yes
YCL,CYCL,NB,CHARLO,CHARLO AIRPORT COMM,12/2/2025,12/8/2025,Corporate,4.260108,1,99999,5.102035,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YDF,CYDF,NL,DEER LAKE,WOODWARD AVIATION,12/9/2025,12/15/2025,Corporate,4.746411,1,264,5.661284,ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. ,No
YDF,CYDF,NL,DEER LAKE,WOODWARD AVIATION,12/9/2025,12/15/2025,Corporate,4.746411,264,528,5.283606,ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. ,No
YDF,CYDF,NL,DEER LAKE,WOODWARD AVIATION,12/9/2025,12/15/2025,Corporate,4.746411,528,1320,5.031820,ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. ,No
YDF,CYDF,NL,DEER LAKE,WOODWARD AVIATION,12/9/2025,12/15/2025,Corporate,4.746411,1321,3170,4.874455,ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. ,No
YDF,CYDF,NL,DEER LAKE,WOODWARD AVIATION,12/9/2025,12/15/2025,Corporate,4.746411,3170,6604,4.717089,ADDT'L NF TAX OF .025 CDN/LTR APPLICABLE TO ALL FLIGHTS WITHIN NORTH AMERICA. ,No
YEG,CYEG,AB,EDMONTON,AIRSIDE FLIGHT SERVICES,12/9/2025,12/15/2025,Corporate,2.999500,1,99999,4.167239, ,No
YEG,CYEG,AB,EDMONTON,EXECUTIVE FLIGHT CENTRE,12/9/2025,12/15/2025,Corporate,2.314766,1,26416,3.308839,Hook Up Fee / Aircraft $55.00 ,No
YEG,CYEG,AB,EDMONTON,FLIGHT TECH SHELL AEROCENTER,12/9/2025,12/15/2025,Corporate,3.158020,1,1585,3.831698,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE ,Yes
YEG,CYEG,AB,EDMONTON,FLIGHT TECH SHELL AEROCENTER,12/9/2025,12/15/2025,Corporate,3.158020,1585,26416,3.831698,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE ,Yes
YFB,CYFB,NU,FROBISHER BAY,UQSUQ CORPORATION,1/16/2025,12/31/2025,Corporate,5.640000,1,99999,6.064513,PRICING SUBJECT TO CHANGE AT ANY TIME. DOMESTIC FLIGHTS INCUR HIGHER PRIING. ,No
YFC,CYFC,NB,FREDERICKTON,MENZIES - YFC,12/9/2025,12/15/2025,Corporate,4.041470,1,99999,6.243597,MTOW < 42KGS AND ALL PART 91 AIRCRAFT. $50 MINIMUM ITP FEE. $150 AFTER HOURS FEE WHEN APPLICABLE. CAN FUEL AT CAPITAL AIRWAYS. MILITARY AIRCRAFT INCUR HIGHER AIRPORT FEES. ,Yes
YFJ,CYFJ,QC,LA MACAZA,MONT TREMBLANT INTL AIRPORT OPS,8/16/2025,12/31/2025,Corporate,5.576756,1,99999,6.630347,FUEL RELEASE REQUIRED. PRICE SUBJECT TO CHANGE AT ANY TIME. PLEASE CONTACT AEG DISPATCH FOR VALID FUEL PRICE FOR FUELING. ,No
YGK,CYGK,ON,KINGSTON,CENTRAL AIRWAYS,12/9/2025,12/15/2025,Corporate,4.186100,1,99999,5.984677,"ADDITIVE NOT INCLUDED. $0.03 CPL additional for additive. 
LESS THAN DC-9 ",No
YHD,CYHD,ON,DRYDEN,MORGAN AVIATION,12/9/2025,12/15/2025,Corporate,3.930700,1,99999,6.283753,"ADDITIVE NOT INCLUDED
LESS THAN DC-9 ",No
YHM,CYHM,ON,HAMILTON,Hamilton Jetport,12/9/2025,12/15/2025,Corporate,2.994180,1,264,4.846609,PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION ,Yes
YHM,CYHM,ON,HAMILTON,Hamilton Jetport,12/9/2025,12/15/2025,Corporate,2.994180,265,528,4.785250,PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION ,Yes
YHM,CYHM,ON,HAMILTON,Hamilton Jetport,12/9/2025,12/15/2025,Corporate,2.994180,529,793,4.723891,PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION ,Yes
YHM,CYHM,ON,HAMILTON,Hamilton Jetport,12/9/2025,12/15/2025,Corporate,2.994180,794,925,4.631909,PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION ,Yes
YHM,CYHM,ON,HAMILTON,Hamilton Jetport,12/9/2025,12/15/2025,Corporate,2.994180,926,1057,4.601173,PRICING MAY VARY SLIGHTLY DUE TO EXCHANGE RATE FLUCTUATION ,Yes
YHM,CYHM,ON,HAMILTON,ONWARD AVIATION,12/9/2025,12/15/2025,Corporate,3.180400,1,999999,4.538364,Additive not included. $0.02 CPL additional for additive. Intl COMMERCIAL DC-9 OR GREATER ,No
YHR,CYHR,QC,CHEVERY,LES SERVICES MAXJET,12/2/2025,12/8/2025,Corporate,9.418868,1,99999,11.047816,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YHU,CYHU,QC,MONTREAL - ST HUBERT,AVJET - YHU,12/2/2025,12/8/2025,Corporate,3.511354,1,99999,4.335733,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YHU,CYHU,QC,MONTREAL - ST HUBERT,HUB FBO,12/2/2025,12/8/2025,Corporate,4.319161,1,99999,5.264509,$175 CALLOUT FEE WHEN APPLICABLE ,Yes
YHU,CYHU,QC,MONTREAL - ST HUBERT,LUXFBO - AEG Preferred,12/9/2025,12/15/2025,Corporate,2.829800,1,174,4.174260, ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,LUXFBO - AEG Preferred,12/9/2025,12/15/2025,Corporate,2.829800,175,349,4.143102, ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,LUXFBO - AEG Preferred,12/9/2025,12/15/2025,Corporate,2.829800,350,999999,4.111828, ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,PASCAN AVIATION,12/9/2025,12/15/2025,Corporate,4.875862,1,132,5.824494,$150 AFTER HRS FEE ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,PASCAN AVIATION,12/9/2025,12/15/2025,Corporate,4.875862,132,264,5.667162,$150 AFTER HRS FEE ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,PASCAN AVIATION,12/9/2025,12/15/2025,Corporate,4.875862,264,528,5.509831,$150 AFTER HRS FEE ,No
YHU,CYHU,QC,MONTREAL - ST HUBERT,PASCAN AVIATION,12/9/2025,12/15/2025,Corporate,4.875862,528,26416,5.352499,$150 AFTER HRS FEE ,No
YHZ,CYHZ,NS,HALIFAX,GATEWAY,12/9/2025,12/15/2025,Corporate,3.823451,1,26416,4.559881,Gateway is only able to assist with uplifts on their own ramp - not on all FBO RAMP Fuelings. JET WITH ADDITIVE INCURS HIGHER PRICING. ,No
